book_id,genre_id
25,12
56,96
60,73
74,216
93,245
131,144
161,150
211,91
317,68
434,121
456,9
480,106
523,97
573,202
590,271
667,290
693,97
715,133
728,3
786,248
798,12
894,132
927,290
975,107
978,278
41,143
52,93
52,182
54,182
58,203
79,42
123,150
180,182
212,242
243,34
249,253
258,132
307,19
337,97
375,150
410,242
421,12
431,187
487,23
531,74
591,25
623,187
664,114
664,214
681,150
690,42
758,145
818,290
846,118
847,107
851,242
864,271
877,172
891,268
897,73
918,68
994,68
7,216
27,214
36,273
38,91
163,203
171,68
176,21
180,42
199,3
201,48
257,182
281,132
295,216
332,182
359,242
371,188
400,166
413,74
468,93
473,83
503,245
511,12
533,210
553,110
601,133
628,77
677,42
705,97
735,106
738,23
785,34
802,132
842,154
863,182
865,22
876,42
888,182
895,118
914,34
928,133
959,194
77,182
156,97
162,182
163,218
204,91
250,246
261,245
263,97
277,132
300,182
343,215
366,97
422,214
490,166
490,242
544,202
546,132
568,150
603,144
607,253
617,93
617,182
654,166
784,157
799,274
837,34
846,246
847,245
854,162
863,93
892,12
894,214
898,68
935,223
937,188
962,102
8,25
39,3
55,224
86,144
89,203
115,182
118,0
184,202
200,182
202,97
208,290
210,21
210,34
212,21
214,242
242,42
254,253
287,102
299,182
313,144
321,182
349,188
368,68
370,12
373,48
421,180
441,242
523,21
532,182
538,97
573,275
618,248
656,188
678,182
684,68
688,77
704,125
763,166
766,174
806,250
811,172
823,235
883,202
890,245
908,118
914,12
926,125
927,68
950,214
43,214
46,176
73,93
100,83
121,35
207,144
267,6
271,267
281,214
338,76
363,42
364,12
388,187
389,125
400,188
423,152
429,224
442,216
451,277
454,291
477,273
479,42
518,59
580,62
592,42
603,184
622,215
655,195
685,96
724,144
733,216
782,21
787,290
798,154
854,242
854,68
903,144
918,242
931,108
948,144
971,247
996,182
47,247
94,125
103,144
145,42
313,195
353,143
359,77
368,205
374,39
395,274
398,35
401,182
427,143
438,42
482,182
501,182
538,144
552,134
578,182
674,62
708,93
729,59
754,12
773,93
793,68
857,248
897,42
923,251
931,29
954,246
977,182
11,182
46,154
47,12
50,121
64,42
71,192
95,42
106,182
124,222
164,222
222,25
229,9
274,59
332,188
353,106
354,68
381,235
437,247
468,216
476,96
502,242
559,68
569,138
590,144
649,275
650,78
672,93
716,90
742,68
773,106
830,290
860,132
872,108
992,42
27,83
32,42
129,23
141,137
158,132
251,144
256,182
267,245
275,42
276,182
307,37
322,12
334,166
391,203
406,35
439,107
442,196
507,227
538,68
571,216
581,144
635,68
670,242
685,45
756,181
778,97
784,6
820,12
835,180
839,93
881,215
912,216
915,209
956,242
14,68
27,12
32,245
63,42
71,68
84,42
136,290
159,235
207,222
272,34
280,222
297,182
