book_title,rating,num_ratings,num_reviews,score,rating_id
The Roommate,3.9,7757,610,14560,0
"The Knife of Never Letting Go (Chaos Walking, #1)",3.97,197877,21196,15768,1
Man’s Search for Meaning,4.37,762458,42196,68249,2
"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.31,3166598,108831,1118664,3
"Little House in the Big Woods (Little House, #1)",4.21,275012,8238,17399,4
Franny and Zooey,3.96,228325,11425,37741,5
The Art of Racing in the Rain,4.23,532237,45094,38100,6
"I Am Number Four (Lorien Legacies, #1)",3.93,345688,17131,16436,7
Divine Secrets of the Ya-Ya Sisterhood,3.86,561562,4889,21985,8
Charlotte’s Web,4.2,1906633,24912,795765,9
"City of Bones (The Mortal Instruments, #1)",4.07,2054455,77961,843049,10
"The da Vinci Code (Robert Langdon, #2)",3.92,2407498,56303,995769,11
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",4.04,949209,51343,14639,12
"A Dog's Purpose (A Dog's Purpose, #1)",4.35,135448,14867,15161,13
Big Little Lies,4.31,1043029,56547,16583,14
"Uglies (Uglies, #1)",3.85,682939,28048,59630,15
The Name of the Rose,4.14,374687,13781,146934,16
"Empire of Storms (Throne of Glass, #5)",4.63,855191,70164,17645,17
"Lover Eternal (Black Dagger Brotherhood, #2)",4.32,195908,7833,14638,18
A Brief History of Time,4.21,447102,13037,14890,19
"The Amulet of Samarkand (Bartimaeus, #1)",4.03,130909,6068,9069,20
Howl and Other Poems,4.13,114212,3054,11714,21
Slaughterhouse-Five,4.1,1401842,42598,516422,22
One Day in the Life of Ivan Denisovich,3.98,117960,6379,14712,23
Revolutionary Road,3.93,90084,7782,9436,24
"Being a Witch, and Other Things I Didn't Ask For",4.3,16542,107,11546,25
"The Wicked King (The Folk of the Air, #2)",4.29,874095,81856,18509,26
The Time Machine,3.89,534213,17221,47844,27
One Flew Over the Cuckoo’s Nest,4.2,748082,17052,384178,28
Grimm's Fairy Tales,4.24,213871,5703,13180,29
"Gone (Gone, #1)",3.87,204815,12519,13266,30
"Speaker for the Dead (Ender's Saga, #2)",4.1,260996,9375,16070,31
"Angels & Demons (Robert Langdon, #1)",3.94,3261612,34867,22109,32
Mansfield Park,3.86,359237,15748,33031,33
Middlesex,4.04,648228,26965,161099,34
Ask for Andrea,4.1,126236,10942,15016,35
The Call of the Wild,3.91,443830,16371,92197,36
A Little Life,4.32,734141,119638,34625,37
"The Two Towers (The Lord of the Rings, #2)",4.49,1018361,21505,20093,38
"The Gunslinger (The Dark Tower, #1)",3.92,628800,26097,37435,39
Gone Girl,4.14,3210822,159926,82321,40
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",4.37,1115479,42987,114832,41
The Elegance of the Hedgehog,3.8,189867,21675,11726,42
"Oryx and Crake (MaddAddam, #1)",4.01,274117,17260,13824,43
"Hunted (House of Night, #5)",3.93,186166,3913,15264,44
Demian,4.14,119559,8619,16322,45
Jonathan Strange & Mr Norrell,3.86,242241,19216,26338,46
Madame Bovary,3.7,346972,17566,88874,47
The Idiot,4.21,192956,9736,52956,48
The Silent Patient,4.18,2546966,222971,17432,49
"The Sparrow (The Sparrow, #1)",4.14,77870,9359,9045,50
The Sea of Tranquility,4.29,87410,10501,9862,51
Taming Flame,4.3,17198,60,17183,52
No Exit,4.0,176474,22260,16362,53
The Left Hand of Darkness,4.1,194188,17165,18760,54
Dear John,4.04,605915,13022,30480,55
