review_id,book_id,Reviews,Score
0,26,610,14560
1,32,21196,15768
2,849,42196,68249
3,113,108831,1118664
4,346,8238,17399
5,659,11425,37741
6,593,45094,38100
7,626,17131,16436
8,835,4889,21985
9,558,24912,795765
10,192,77961,843049
11,214,56303,995769
12,942,51343,14639
13,318,14867,15161
14,893,56547,16583
15,415,28048,59630
16,856,13781,146934
17,512,70164,17645
18,65,7833,14638
19,962,13037,14890
20,120,6068,9069
21,581,3054,11714
22,794,42598,516422
23,559,6379,14712
24,283,7782,9436
25,533,107,11546
26,180,81856,18509
27,96,17221,47844
28,969,17052,384178
29,384,5703,13180
30,787,12519,13266
31,770,9375,16070
32,284,34867,22109
33,285,15748,33031
34,664,26965,161099
35,7,10942,15016
36,765,16371,92197
37,974,119638,34625
38,121,21505,20093
39,738,26097,37435
40,515,159926,82321
41,73,42987,114832
42,27,21675,11726
43,338,17260,13824
44,446,3913,15264
45,483,8619,16322
46,381,19216,26338
47,864,17566,88874
48,988,9736,52956
49,989,222971,17432
50,634,9359,9045
51,508,10501,9862
52,802,60,17183
53,222,22260,16362
54,803,17165,18760
55,704,13022,30480
56,568,16069,33083
57,527,7943,32915
58,270,36009,78144
59,795,104849,1593366
60,339,135424,19825
61,181,3523,9344
62,104,6159,16691
63,125,88264,18912
64,789,8034,26376
65,185,7166,15931
66,295,4131,21424
67,963,126468,21511
68,147,126468,21511
69,128,76664,58504
70,393,91791,823985
71,215,3504,8925
72,628,7534,10152
73,437,38399,13430
74,492,115227,16000
75,74,13615,19036
76,964,20470,21537
77,528,22976,44702
78,245,1112,47632
79,688,8941,10469
80,933,3704,11569
81,520,6317,12931
82,226,77140,25669
83,990,10321,54089
84,325,15092,11278
85,223,82729,14018
86,83,508,65329
87,521,112567,1045653
88,279,37588,9566
89,28,8543,13733
90,841,4765,12610
91,312,9495,11408
92,300,8645,12187
93,135,6765,16644
94,909,52793,29307
95,488,22514,33101
96,275,127668,45230
97,165,32567,46419
98,817,90261,757261
99,394,122063,329198
100,352,122063,329198
101,50,43612,89474
102,36,13750,33624
103,947,17719,17246
104,407,43743,419895
105,306,7114,10508
106,717,4091,8969
107,461,47762,20681
108,44,26282,70286
109,453,13893,74432
110,665,26756,258851
111,340,161885,15841
112,101,5814,16756
113,827,93484,21971
114,775,46501,28128
115,33,30421,133868
116,828,21746,95780
117,709,11859,10885
118,693,11288,11409
119,200,3269,13039
120,466,18952,14170
121,403,29527,19908
122,880,6649,36895
123,865,9763,64157
124,216,68126,3163643
125,18,19640,9254
126,934,92066,16719
127,956,154237,25672
128,201,13592,143450
129,421,9571,50865
130,139,9098,11651
131,776,283557,35413
132,755,11663,42078
133,617,248330,46002
134,555,248330,46002
135,88,7296,73122
136,102,21163,10031
137,777,9077,18858
138,804,32596,22578
139,975,43982,25680
140,796,10357,28466
141,134,12807,32155
142,59,10365,62990
143,45,67437,106014
144,983,72927,1065703
145,467,20254,24249
146,474,5696,13397
147,646,22386,18869
148,809,8729,30160
149,51,12325,64568
150,698,41919,898586
151,422,7396,12163
152,66,3181,16096
153,60,19605,17157
154,534,123700,2787782
155,948,40932,983918
156,597,12807,11097
157,202,20878,13748
158,235,105158,48949
159,797,38820,83218
160,829,5978,51934
161,722,41515,13726
162,916,9037,19072
163,710,13230,21918
164,640,203875,99011
165,149,203875,99011
166,503,64544,114483
167,122,34951,50695
168,874,19014,34355
169,881,5346,17400
170,286,2456,11053
171,364,80595,11931
172,654,18788,14943
173,861,5202,15730
174,921,99325,49700
175,52,33323,69664
176,925,20083,17956
177,478,11,10492
178,673,60474,12209
179,416,5703,12319
180,158,8348,16617
181,818,16513,64441
182,509,17496,87421
183,500,125615,104108
184,728,29766,163738
185,935,2977,9406
186,535,8307,11218
187,429,3069,12055
188,53,11141,23166
189,991,24127,35858
190,569,7122,39431
191,457,182225,1356508
192,105,73661,12298
193,37,31952,13652
194,932,4307,16847
195,522,8738,18327
196,280,28050,27932
197,882,6647,132176
198,126,38188,318747
199,543,28035,35016
200,666,4352,9026
201,729,11348,9001
202,106,40687,628785
203,910,7931,14916
204,536,13790,15899
205,46,9092,16844
206,537,22775,25319
207,629,4604,30487
208,943,18277,414570
209,742,54675,543873
